model_name,mae,run_timestamp,run_id
baseline,4.228524824664622,2025-05-11 21:48:16,
full,1.594560079970064,2025-05-11 21:48:16,
reduced,1.904889937690856,2025-05-11 21:48:16,
baseline,4.228524824664622,2025-05-11 21:55:00,
full,1.594560079970064,2025-05-11 21:55:00,
reduced,1.904889937690856,2025-05-11 21:55:00,
